============================= test session starts =============================
platform win32 -- Python 3.12.6, pytest-8.3.4, pluggy-1.5.0 -- C:\Python312\python.exe
cachedir: .pytest_cache
rootdir: C:\Users\cabra\Projects\LifeOS
configfile: pytest.ini
testpaths: runtime/tests, tests_doc, tests_recursive
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle1V02PublicAPI::test_synthesis_request_is_exported PASSED [ 32%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle1V02PublicAPI::test_synthesize_mission_is_exported PASSED [ 33%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle1V02PublicAPI::test_validate_mission_definition_v02_is_exported PASSED [ 33%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle1V02PublicAPI::test_ambiguous_validate_names_are_not_exported PASSED [ 33%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle2SynthesisRequestSchema::test_synthesis_request_has_required_fields PASSED [ 33%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle2SynthesisRequestSchema::test_synthesis_request_defaults PASSED [ 33%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle2SynthesisRequestSchema::test_synthesis_request_is_frozen PASSED [ 33%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle3DeterministicSynthesis::test_synthesis_produces_mission_definition PASSED [ 33%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle3DeterministicSynthesis::test_synthesis_is_deterministic PASSED [ 33%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle3DeterministicSynthesis::test_synthesis_canonical_json_is_stable PASSED [ 34%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle3DeterministicSynthesis::test_synthesis_metadata_sorted_by_key PASSED [ 34%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle4InvariantValidation::test_rejects_empty_id PASSED [ 34%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle4InvariantValidation::test_rejects_whitespace_only_id PASSED [ 34%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle4InvariantValidation::test_rejects_overlong_id PASSED [ 34%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle4InvariantValidation::test_rejects_empty_name PASSED [ 34%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle4InvariantValidation::test_rejects_overlong_name PASSED [ 34%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle4InvariantValidation::test_rejects_invalid_metadata_type PASSED [ 34%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle4InvariantValidation::test_rejects_too_many_tags PASSED [ 35%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle5ValidateEntrypoint::test_validate_accepts_valid_definition PASSED [ 35%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle5ValidateEntrypoint::test_validate_rejects_invalid_definition PASSED [ 35%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle5ValidateEntrypoint::test_validate_accepts_custom_config PASSED [ 35%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle6ErrorTaxonomy::test_error_messages_are_stable PASSED [ 35%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle6ErrorTaxonomy::test_all_validation_errors_are_boundary_violations PASSED [ 35%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle7GoldenFixture::test_golden_fixture_synthesis PASSED [ 35%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle7GoldenFixture::test_golden_fixture_hash_stability PASSED [ 36%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle8ContractDecisions::test_decision_tags_are_order_significant PASSED [ 36%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle8ContractDecisions::test_decision_whitespace_is_rejected_without_stripping PASSED [ 36%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle9Hygiene::test_proof_id_whitespace_only_is_rejected PASSED [ 36%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle9Hygiene::test_proof_tags_cannot_be_empty_or_whitespace PASSED [ 36%]
runtime/tests/test_mission_registry/test_mission_registry_v0_2.py::TestCycle9Hygiene::test_proof_metadata_keys_cannot_be_empty_or_whitespace PASSED [ 36%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT2InterfaceDefinedNoExecution::test_at1_public_interface_surface PASSED [ 36%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT2InterfaceDefinedNoExecution::test_registry_operations_are_pure PASSED [ 36%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT2InterfaceDefinedNoExecution::test_validation_enforced_on_register PASSED [ 37%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT2InterfaceDefinedNoExecution::test_conflict_error_on_duplicate PASSED [ 37%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT2InterfaceDefinedNoExecution::test_not_found_error_on_missing PASSED [ 37%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT2InterfaceDefinedNoExecution::test_no_io_during_operations PASSED [ 37%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT3DeterminismStability::test_different_insertion_orders_same_canonical_json PASSED [ 37%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT3DeterminismStability::test_determinism_with_metadata_variations PASSED [ 37%]
runtime/tests/test_mission_registry/test_tier3_mission_registry_contracts.py::TestAT3DeterminismStability::test_empty_registry_is_deterministic PASSED [ 37%]
runtime/tests/test_missions_phase3.py::TestMissionType::test_all_types_defined PASSED [ 37%]
runtime/tests/test_missions_phase3.py::TestMissionType::test_string_enum PASSED [ 38%]
runtime/tests/test_missions_phase3.py::TestMissionRegistry::test_contains_all_mission_types PASSED [ 38%]
runtime/tests/test_missions_phase3.py::TestMissionRegistry::test_get_mission_class_valid PASSED [ 38%]
runtime/tests/test_missions_phase3.py::TestMissionRegistry::test_get_mission_class_unknown_fails_closed PASSED [ 38%]
runtime/tests/test_missions_phase3.py::TestMissionRegistry::test_run_mission_unknown_fails_closed PASSED [ 38%]
runtime/tests/test_missions_phase3.py::TestMissionRegistry::test_list_mission_types_deterministic PASSED [ 38%]
runtime/tests/test_missions_phase3.py::TestSchemaValidation::test_load_schema_succeeds PASSED [ 38%]
runtime/tests/test_missions_phase3.py::TestSchemaValidation::test_valid_definition_passes PASSED [ 38%]
runtime/tests/test_missions_phase3.py::TestSchemaValidation::test_missing_required_field_fails PASSED [ 39%]
runtime/tests/test_missions_phase3.py::TestSchemaValidation::test_invalid_type_enum_fails PASSED [ 39%]
runtime/tests/test_missions_phase3.py::TestSchemaValidation::test_error_messages_sorted PASSED [ 39%]
runtime/tests/test_missions_phase3.py::TestDesignMission::test_mission_type PASSED [ 39%]
runtime/tests/test_missions_phase3.py::TestDesignMission::test_valid_inputs_pass PASSED [ 39%]
runtime/tests/test_missions_phase3.py::TestDesignMission::test_missing_task_spec_fails PASSED [ 39%]
runtime/tests/test_missions_phase3.py::TestDesignMission::test_run_succeeds PASSED [ 39%]
runtime/tests/test_missions_phase3.py::TestDesignMission::test_run_with_context_refs PASSED [ 39%]
runtime/tests/test_missions_phase3.py::TestReviewMission::test_mission_type PASSED [ 40%]
runtime/tests/test_missions_phase3.py::TestReviewMission::test_valid_inputs_pass PASSED [ 40%]
runtime/tests/test_missions_phase3.py::TestReviewMission::test_missing_subject_packet_fails PASSED [ 40%]
runtime/tests/test_missions_phase3.py::TestReviewMission::test_invalid_review_type_fails PASSED [ 40%]
runtime/tests/test_missions_phase3.py::TestReviewMission::test_run_succeeds PASSED [ 40%]
runtime/tests/test_missions_phase3.py::TestBuildMission::test_mission_type PASSED [ 40%]
runtime/tests/test_missions_phase3.py::TestBuildMission::test_valid_inputs_pass PASSED [ 40%]
runtime/tests/test_missions_phase3.py::TestBuildMission::test_unapproved_fails PASSED [ 40%]
runtime/tests/test_missions_phase3.py::TestBuildMission::test_run_succeeds PASSED [ 41%]
runtime/tests/test_missions_phase3.py::TestStewardMission::test_mission_type PASSED [ 41%]
runtime/tests/test_missions_phase3.py::TestStewardMission::test_valid_inputs_pass PASSED [ 41%]
runtime/tests/test_missions_phase3.py::TestStewardMission::test_unapproved_fails PASSED [ 41%]
runtime/tests/test_missions_phase3.py::TestStewardMission::test_run_succeeds PASSED [ 41%]
runtime/tests/test_missions_phase3.py::TestAutonomousBuildCycleMission::test_mission_type PASSED [ 41%]
runtime/tests/test_missions_phase3.py::TestAutonomousBuildCycleMission::test_valid_inputs_pass PASSED [ 41%]
runtime/tests/test_missions_phase3.py::TestAutonomousBuildCycleMission::test_run_composes_correctly PASSED [ 41%]
runtime/tests/test_missions_phase3.py::TestAutonomousBuildCycleMission::test_run_full_cycle_success PASSED [ 42%]
runtime/tests/test_missions_phase3.py::TestMissionResultSerialization::test_to_dict_deterministic PASSED [ 42%]
runtime/tests/test_missions_phase3.py::TestMissionResultSerialization::test_to_dict_consistent PASSED [ 42%]
runtime/tests/test_missions_phase3.py::TestEngineMissionDispatch::test_design_mission_via_registry PASSED [ 42%]
runtime/tests/test_missions_phase3.py::TestEngineMissionDispatch::test_unknown_mission_fails_closed PASSED [ 42%]
runtime/tests/test_opencode_client.py::TestLLMCall::test_llm_call_default_model FAILED [ 42%]
runtime/tests/test_opencode_client.py::TestLLMCall::test_llm_call_custom_model PASSED [ 42%]
runtime/tests/test_opencode_client.py::TestLLMCall::test_llm_call_empty_prompt PASSED [ 43%]
runtime/tests/test_opencode_client.py::TestLLMResponse::test_llm_response_creation PASSED [ 43%]
runtime/tests/test_opencode_client.py::TestLLMResponse::test_llm_response_empty_content PASSED [ 43%]
runtime/tests/test_opencode_client.py::TestExceptions::test_opencode_error_exists PASSED [ 43%]
runtime/tests/test_opencode_client.py::TestExceptions::test_opencode_server_error_inherits PASSED [ 43%]
runtime/tests/test_opencode_client.py::TestExceptions::test_opencode_timeout_error_inherits PASSED [ 43%]
runtime/tests/test_opencode_client.py::TestExceptions::test_opencode_session_error_inherits PASSED [ 43%]
runtime/tests/test_opencode_client.py::TestExceptions::test_exception_messages PASSED [ 43%]
runtime/tests/test_opencode_client.py::TestClientInstantiation::test_client_default_values PASSED [ 44%]
runtime/tests/test_opencode_client.py::TestClientInstantiation::test_client_custom_port PASSED [ 44%]
runtime/tests/test_opencode_client.py::TestClientInstantiation::test_client_custom_timeout PASSED [ 44%]
runtime/tests/test_opencode_client.py::TestClientInstantiation::test_client_disable_logging PASSED [ 44%]
runtime/tests/test_opencode_client.py::TestClientInstantiation::test_client_base_url PASSED [ 44%]
runtime/tests/test_opencode_client.py::TestClientInstantiation::test_client_not_running_by_default PASSED [ 44%]
runtime/tests/test_opencode_client.py::TestClientInstantiation::test_client_with_api_key PASSED [ 44%]
runtime/tests/test_opencode_client.py::TestLogDirectory::test_log_directory_created PASSED [ 44%]
runtime/tests/test_opencode_client.py::TestLogDirectory::test_log_directory_not_created_when_disabled PASSED [ 45%]
runtime/tests/test_opencode_client.py::TestServerState::test_call_without_server_raises FAILED [ 45%]
runtime/tests/test_opencode_client.py::TestServerState::test_start_without_api_key_raises PASSED [ 45%]
runtime/tests/test_opencode_client.py::TestServerState::test_start_when_already_running_raises PASSED [ 45%]
runtime/tests/test_opencode_client.py::TestImports::test_import_from_agents_package FAILED [ 45%]
runtime/tests/test_opencode_client.py::TestImports::test_all_exports FAILED [ 45%]
runtime/tests/test_opencode_client.py::TestDeterminism::test_llm_call_equality PASSED [ 45%]
runtime/tests/test_opencode_client.py::TestDeterminism::test_llm_response_equality PASSED [ 45%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t1_service_boots_smoke PASSED [ 46%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t2_rejects_missing_field PASSED [ 46%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t2_rejects_invalid_version PASSED [ 46%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t2_rejects_missing_payload PASSED [ 46%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t2_rejects_invalid_payload_type PASSED [ 46%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t2b_internal_error_guard PASSED [ 46%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t3_determinism PASSED [ 46%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t4_steward_opencode_validate PASSED [ 46%]
runtime/tests/test_opencode_governance/test_phase1_contract.py::test_t5_canonical_evidence_capture FAILED [ 47%]
runtime/tests/test_operations.py::TestCompensationType::test_none_type_accepts_empty_command PASSED [ 47%]
runtime/tests/test_operations.py::TestCompensationType::test_none_type_rejects_non_empty_command PASSED [ 47%]
runtime/tests/test_operations.py::TestCompensationType::test_custom_validated_accepts_whitelist_command PASSED [ 47%]
runtime/tests/test_operations.py::TestCompensationType::test_custom_validated_rejects_unknown_command PASSED [ 47%]
runtime/tests/test_operations.py::TestCompensationType::test_other_types_require_non_empty_command PASSED [ 47%]
runtime/tests/test_operations.py::TestStateHash::test_stable_hash_same_content PASSED [ 47%]
runtime/tests/test_operations.py::TestStateHash::test_different_content_different_hash PASSED [ 47%]
runtime/tests/test_operations.py::TestStateHash::test_missing_file_handled PASSED [ 48%]
runtime/tests/test_operations.py::TestStateHash::test_order_independent PASSED [ 48%]
runtime/tests/test_operations.py::TestCanonicalBytes::test_sorted_keys PASSED [ 48%]
runtime/tests/test_operations.py::TestCanonicalBytes::test_no_whitespace PASSED [ 48%]
runtime/tests/test_operations.py::TestCanonicalBytes::test_rejects_nan PASSED [ 48%]
runtime/tests/test_operations.py::TestCanonicalBytes::test_rejects_infinity PASSED [ 48%]
runtime/tests/test_operations.py::TestCanonicalBytes::test_deterministic PASSED [ 48%]
runtime/tests/test_operations.py::TestOperationExecutor::test_execute_returns_receipt PASSED [ 48%]
runtime/tests/test_operations.py::TestOperationExecutor::test_execute_validates_compensation PASSED [ 49%]
runtime/tests/test_operations.py::TestOperationExecutor::test_tool_invoke_checks_envelope PASSED [ 49%]
runtime/tests/test_packet_validation.py::test_missing_required_field PASSED [ 49%]
runtime/tests/test_packet_validation.py::test_council_review_missing_objective PASSED [ 49%]
runtime/tests/test_packet_validation.py::test_bundle_full_validate_fails_schema PASSED [ 49%]
runtime/tests/test_packet_validation.py::test_lineage_verification_pass PASSED [ 49%]
runtime/tests/test_packet_validation.py::test_lineage_verification_mismatch PASSED [ 49%]
runtime/tests/test_packet_validation.py::test_lineage_verification_missing_packet PASSED [ 50%]
runtime/tests/test_packet_validation.py::test_compression_fail PASSED    [ 50%]
runtime/tests/test_packet_validation.py::test_schema_validity PASSED     [ 50%]
runtime/tests/test_packet_validation.py::test_validator_uses_schema_override PASSED [ 50%]
runtime/tests/test_packet_validation.py::test_no_hardcoded_taxonomy PASSED [ 50%]
runtime/tests/test_packet_validation.py::test_ttl_expiry PASSED          [ 50%]
runtime/tests/test_packet_validation.py::test_replay_collision PASSED    [ 50%]
runtime/tests/test_packet_validation.py::test_signature_enforcement PASSED [ 50%]
runtime/tests/test_packet_validation.py::test_deprecated_gating PASSED   [ 51%]
runtime/tests/test_packet_validation.py::test_ignore_skew_override PASSED [ 51%]
runtime/tests/test_packet_validation.py::test_plan_build_packet_valid PASSED [ 51%]
runtime/tests/test_packet_validation.py::test_plan_review_packet_valid PASSED [ 51%]
runtime/tests/test_packet_validation.py::test_semver_incompatible PASSED [ 51%]
runtime/tests/test_packet_validation.py::test_schema_taxonomy_no_overlap PASSED [ 51%]
runtime/tests/test_packet_validation.py::test_deprecated_gate_enforced_even_if_core_overlap PASSED [ 51%]
runtime/tests/test_planner_validation.py::test_validate_required_artifact_ids_valid PASSED [ 51%]
runtime/tests/test_planner_validation.py::test_validate_required_artifact_ids_invalid_type PASSED [ 52%]
runtime/tests/test_planner_validation.py::test_validate_required_artifact_ids_limit_exceeded PASSED [ 52%]
runtime/tests/test_planner_validation.py::test_validate_plan_budget_valid PASSED [ 52%]
runtime/tests/test_planner_validation.py::test_validate_plan_budget_exceeded PASSED [ 52%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle1PublicAPI::test_public_api_imports PASSED [ 52%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle2SchemaConformance::test_plan_surface_schema_exact PASSED [ 52%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle2SchemaConformance::test_constraints_default_matches_config PASSED [ 52%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle2SchemaConformance::test_tags_none_emits_empty_list PASSED [ 52%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle2SchemaConformance::test_tags_order_preserved PASSED [ 53%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle3CanonicalJSON::test_canonical_json_is_stable PASSED [ 53%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle3CanonicalJSON::test_canonical_json_settings_are_pinned PASSED [ 53%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle3CanonicalJSON::test_canonical_json_roundtrip PASSED [ 53%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle4HashStability::test_surface_hash_is_stable PASSED [ 53%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle5ValidationBoundaries::test_validate_request_accepts_valid PASSED [ 53%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle5ValidationBoundaries::test_validate_request_rejects_empty_id PASSED [ 53%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle5ValidationBoundaries::test_validate_request_rejects_invalid_tags_type PASSED [ 53%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle5ValidationBoundaries::test_validate_request_rejects_empty_title PASSED [ 54%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle5ValidationBoundaries::test_validate_request_rejects_overlong_description PASSED [ 54%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle5ValidationBoundaries::test_validate_request_rejects_too_many_tags PASSED [ 54%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle5ValidationBoundaries::test_validate_request_rejects_overlong_tag PASSED [ 54%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle5ValidationBoundaries::test_validate_surface_rejects_oversized_payload PASSED [ 54%]
runtime/tests/test_reactive/test_spec_conformance.py::TestCycle6Immutability::test_dataclasses_are_frozen PASSED [ 54%]
runtime/tests/test_reactive/test_spec_conformance.py::TestVersionConstant::test_version_constant_exists_and_is_string PASSED [ 54%]
runtime/tests/test_reactive/test_spec_conformance.py::TestVersionConstant::test_version_constant_matches_semantic_pattern PASSED [ 54%]
runtime/tests/test_reactive/test_spec_conformance.py::TestVersionConstant::test_surface_uses_version_constant PASSED [ 55%]
runtime/tests/test_reactive/test_spec_conformance.py::TestDeterminismHardening::test_dict_insertion_order_does_not_affect_canonical_json PASSED [ 55%]
runtime/tests/test_reactive/test_spec_conformance.py::TestDeterminismHardening::test_request_field_order_does_not_affect_surface PASSED [ 55%]
runtime/tests/test_reactive/test_spec_conformance.py::TestValidationEdgeCases::test_validate_request_at_exact_title_limit PASSED [ 55%]
runtime/tests/test_reactive/test_spec_conformance.py::TestValidationEdgeCases::test_validate_request_at_exact_description_limit PASSED [ 55%]
runtime/tests/test_reactive/test_spec_conformance.py::TestValidationEdgeCases::test_validate_request_at_exact_tags_limit PASSED [ 55%]
runtime/tests/test_reactive/test_spec_conformance.py::TestValidationEdgeCases::test_validate_request_at_exact_tag_char_limit PASSED [ 55%]
runtime/tests/test_reactive/test_spec_conformance.py::TestUnicodeCoverage::test_unicode_in_title_is_escaped PASSED [ 55%]
runtime/tests/test_reactive/test_spec_conformance.py::TestUnicodeCoverage::test_unicode_in_description_is_escaped PASSED [ 56%]
runtime/tests/test_reactive/test_spec_conformance.py::TestUnicodeCoverage::test_unicode_in_tags_is_escaped PASSED [ 56%]
runtime/tests/test_reactive/test_spec_conformance.py::TestBuildPlanSurface::test_build_plan_surface_is_importable PASSED [ 56%]
runtime/tests/test_reactive/test_spec_conformance.py::TestBuildPlanSurface::test_build_plan_surface_produces_valid_surface PASSED [ 56%]
runtime/tests/test_reactive/test_spec_conformance.py::TestBuildPlanSurface::test_build_plan_surface_rejects_invalid_request PASSED [ 56%]
runtime/tests/test_reactive/test_spec_conformance.py::TestBuildPlanSurface::test_build_plan_surface_rejects_oversized_payload PASSED [ 56%]
runtime/tests/test_reactive/test_spec_conformance.py::TestBuildPlanSurface::test_build_plan_surface_is_deterministic PASSED [ 56%]
runtime/tests/test_reclaim.py::test_reclaim_success PASSED               [ 56%]
runtime/tests/test_reclaim.py::test_reclaim_skipped_alive PASSED         [ 57%]
runtime/tests/test_reclaim.py::test_reclaim_not_stale PASSED             [ 57%]
runtime/tests/test_repair_context.py::test_truncate_short PASSED         [ 57%]
runtime/tests/test_repair_context.py::test_truncate_exact PASSED         [ 57%]
runtime/tests/test_repair_context.py::test_truncate_long PASSED          [ 57%]
runtime/tests/test_repair_context.py::test_truncate_unicode PASSED       [ 57%]
runtime/tests/test_required_artifact_ids.py::test_validate_limit_ok PASSED [ 57%]
runtime/tests/test_required_artifact_ids.py::test_validate_limit_exceeded PASSED [ 58%]
runtime/tests/test_required_artifact_ids.py::test_validate_invalid_type PASSED [ 58%]
runtime/tests/test_required_artifact_ids.py::test_validate_invalid_item_type PASSED [ 58%]
runtime/tests/test_routing.py::test_allowed_routes PASSED                [ 58%]
runtime/tests/test_routing.py::test_illegal_routes PASSED                [ 58%]
runtime/tests/test_run_controller.py::TestKillSwitch::test_kill_switch_not_present PASSED [ 58%]
runtime/tests/test_run_controller.py::TestKillSwitch::test_kill_switch_present PASSED [ 58%]
runtime/tests/test_run_controller.py::TestKillSwitch::test_mission_startup_halts_before_lock_when_kill_switch_present PASSED [ 58%]
runtime/tests/test_run_controller.py::TestKillSwitch::test_mission_startup_halts_after_lock_if_kill_switch_created_between_checks PASSED [ 59%]
runtime/tests/test_run_controller.py::TestRunLock::test_acquire_lock_success PASSED [ 59%]
runtime/tests/test_run_controller.py::TestRunLock::test_acquire_lock_fails_when_held PASSED [ 59%]
runtime/tests/test_run_controller.py::TestRunLock::test_stale_lock_detection PASSED [ 59%]
runtime/tests/test_run_controller.py::TestRunLock::test_release_lock_success PASSED [ 59%]
runtime/tests/test_run_controller.py::TestRunLock::test_release_lock_fails_if_not_owner PASSED [ 59%]
runtime/tests/test_run_controller.py::TestRepoClean::test_repo_clean_passes_on_clean_repo PASSED [ 59%]
runtime/tests/test_run_controller.py::TestRepoClean::test_repo_dirty_raises_on_staged_changes PASSED [ 59%]
runtime/tests/test_run_controller.py::TestRepoClean::test_repo_dirty_raises_on_untracked_files PASSED [ 60%]
runtime/tests/test_run_controller.py::TestGitFailClosed::test_git_status_nonzero_returncode_raises_halt PASSED [ 60%]
runtime/tests/test_run_controller.py::TestGitFailClosed::test_git_not_found_raises_halt PASSED [ 60%]
runtime/tests/test_run_controller.py::TestGitFailClosed::test_git_rev_parse_failure_raises_halt PASSED [ 60%]
runtime/tests/test_safety_halt_procedure.py::TestSafetyHaltProcedure::test_find_last_good_snapshot PASSED [ 60%]
runtime/tests/test_safety_halt_procedure.py::TestSafetyHaltProcedure::test_find_no_snapshot PASSED [ 60%]
runtime/tests/test_safety_halt_procedure.py::TestSafetyHaltProcedure::test_rollback_to_snapshot PASSED [ 60%]
runtime/tests/test_safety_health_checks.py::TestSafetyHealthChecks::test_amu0_chain_integrity_ok PASSED [ 60%]
runtime/tests/test_safety_health_checks.py::TestSafetyHealthChecks::test_amu0_readability_missing PASSED [ 61%]
runtime/tests/test_safety_health_checks.py::TestSafetyHealthChecks::test_amu0_readability_ok PASSED [ 61%]
runtime/tests/test_sandbox_remediation.py::test_unicode_safety_combining_marks PASSED [ 61%]
runtime/tests/test_sandbox_remediation.py::test_unicode_safety_normalization PASSED [ 61%]
runtime/tests/test_sandbox_remediation.py::test_resource_limit_file_size PASSED [ 61%]
runtime/tests/test_sandbox_remediation.py::test_hardlink_defense PASSED  [ 61%]
runtime/tests/test_sandbox_remediation.py::test_unicode_percent_rejection PASSED [ 61%]
runtime/tests/test_schema.py::test_json1_available PASSED                [ 61%]
runtime/tests/test_schema.py::test_tables_exist PASSED                   [ 62%]
runtime/tests/test_schema.py::test_columns_exist PASSED                  [ 62%]
runtime/tests/test_schema.py::test_indexes_exist PASSED                  [ 62%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_governance_baseline_protected PASSED [ 62%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_models_yaml_protected PASSED [ 62%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_agent_roles_protected PASSED [ 62%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_gate_policy_protected PASSED [ 62%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_self_mod_protection_protected PASSED [ 62%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_architecture_docs_protected PASSED [ 63%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_constitutions_protected PASSED [ 63%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_transforms_protected PASSED [ 63%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_regular_file_not_protected PASSED [ 63%]
runtime/tests/test_self_mod_protection.py::TestProtectedPaths::test_path_normalization PASSED [ 63%]
runtime/tests/test_self_mod_protection.py::TestCheckSelfModification::test_protected_path_rejected PASSED [ 63%]
runtime/tests/test_self_mod_protection.py::TestCheckSelfModification::test_non_protected_path_allowed PASSED [ 63%]
runtime/tests/test_self_mod_protection.py::TestCheckSelfModification::test_evidence_includes_matching_patterns PASSED [ 63%]
runtime/tests/test_self_mod_protection.py::TestSelfModProtector::test_validate_protected_path PASSED [ 64%]
runtime/tests/test_self_mod_protection.py::TestSelfModProtector::test_validate_relative_path PASSED [ 64%]
runtime/tests/test_self_mod_protection.py::TestSelfModProtector::test_validate_absolute_path PASSED [ 64%]
runtime/tests/test_self_mod_protection.py::TestSelfModProtector::test_path_outside_repo_allowed PASSED [ 64%]
runtime/tests/test_self_mod_protection.py::TestGetProtectedPaths::test_returns_list PASSED [ 64%]
runtime/tests/test_self_mod_protection.py::TestGetProtectedPaths::test_includes_expected_paths PASSED [ 64%]
runtime/tests/test_snapshot.py::test_snapshot_basic PASSED               [ 64%]
runtime/tests/test_snapshot.py::test_snapshot_versioning PASSED          [ 65%]
runtime/tests/test_snapshot.py::test_snapshot_tombstone PASSED           [ 65%]
runtime/tests/test_snapshot.py::test_snapshot_required_artifact_override PASSED [ 65%]
runtime/tests/test_snapshot.py::test_snapshot_ordering PASSED            [ 65%]
runtime/tests/test_state_store.py::test_state_round_trip PASSED          [ 65%]
runtime/tests/test_state_store.py::test_snapshot_determinism PASSED      [ 65%]
runtime/tests/test_tier2_builder.py::test_build_workflow_daily_loop_produces_valid_workflow PASSED [ 65%]
runtime/tests/test_tier2_builder.py::test_build_workflow_run_tests_produces_valid_workflow PASSED [ 65%]
runtime/tests/test_tier2_builder.py::test_build_workflow_unknown_type_raises_error PASSED [ 66%]
runtime/tests/test_tier2_builder.py::test_build_workflow_respects_max_steps_limit PASSED [ 66%]
runtime/tests/test_tier2_builder.py::test_build_workflow_respects_max_human_steps_limit PASSED [ 66%]
runtime/tests/test_tier2_builder.py::test_build_workflow_excessive_steps_raises_or_truncates PASSED [ 66%]
